Total Records,,Delay Rate,,,,,,,,,,
25713,,35.37%,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total Delays,,,,,,,,--- 1. LINE PERFORMANCE ---,,,,
9094,,,,,,,,Line,Total Incidents,Delayed Incidents,Delay Rate (%),Avg Delay (Min)
,,,,,,,,YU (Line 1),13083,5057,38.70%,3
,,,,,,,,BD (Line 2),11143,3684,33.10%,2
,,,,,,,,SHP (Line 4),1065,352,33.10%,3
Avg Delay (All Records),,,,,,,,,,,,
3,,,,,,,,--- 2. TIME OF DAY ANALYSIS ---,,,,
,,,,,,,,Time Period,Total Incidents,Delayed Incidents,Delay Rate (%),Avg Delay (Min)
,,,,,,,,AM Peak (6-10am),4724,1992,42.2,3
,,,,,,,,PM Peak (3-7pm),5480,2126,38.8,3
Average Delay (Delayed Only),,,,,,,,Midday,5607,1966,35.1,3
8,,,,,,,,Evening,5983,1967,32.9,3
,,,,,,,,Night,3919,1043,26.6,2
,,,,,,,,,,,,
,,,,,,,,--- 3. TOP 10 WORST STATIONS ---,,,,
Line_Clean,COUNTA of _id,AVERAGE of Min Delay,,,,,,Station,Total Incidents,Avg Delay (Min),,
BD,11143,2,,Delay Rate,percentage,,,Kennedy (BD),991,2,,
SHP,1065,3,,BD,33.06%,,,Bloor (Yonge),924,2,,
SRT,1,0,,SHP,33.05%,,,Finch,898,2,,
Unknown,77,0,,UNKNOWN,1.30%,,,Kipling,870,3,,
YU,13083,3,,YU,38.65%,,,Eglinton,666,4,,
YU/BD,344,0,,,,,,Wilson,633,3,,
Grand Total,25713,3,,,,,,Union,593,3,,
,,,,,,,,Warden,573,3,,
,,,,,,,,Dundas,525,2,,
Line_Clean,COUNTA of _id,,,,,,,Yonge (BD),514,2,,
BD,3684,,,,,,,,,,,
SHP,352,,,,,,,--- 4. MONTHLY TREND (SEASONALITY) ---,,,,
UNKNOWN,1,,,,,,,Month,Total Incidents,Avg Delay (Min),,
YU,5057,,,,,,,Jan,808,8,,
Grand Total,9094,,,,,,,Feb,917,10,,
,,,,,,,,Mar,801,8,,
Time_Period,COUNTA of _id,AVERAGE of Min Delay,,,,,,Apr,751,8,,
AM Peak,4724,3,,,,,,May,731,7,,
Evening,5983,3,,,,,,Jun,664,8,,
Midday,5607,3,,,,,,Jul,688,8,,
Night,3919,2,,,,,,Aug,741,7,,
PM Peak,5480,3,,,,,,Sep,613,7,,
Grand Total,25713,3,,,,,,Oct,704,7,,
,,,,,,,,Nov,834,7,,
,,,,,,,,Dec,842,8,,
Time_Period,COUNTA of _id,AVERAGE of Min Delay,,,,,,,,,,
AM Peak,1992,7,,,,,,--- 5. DAY OF WEEK ---,,,,
Evening,1967,8,,,,,,Day,Total Incidents,Avg Delay (Min),,
Midday,1966,8,,,,,,Monday,1371,7,,
Night,1043,9,,,,,,Tuesday,1423,8,,
PM Peak,2126,7,,,,,,Wednesday,1512,8,,
Grand Total,9094,8,,,,,,Thursday,1377,8,,
,,,,,,,,Friday,1398,7,,
,,,,,,,,Saturday,1067,8,,
Hour,COUNTA of _id,AVERAGE of Min Delay,,,,,,Sunday,946,10,,
0,865,2,,,,,,,,,,
1,949,2,,,,,,,,,,
2,604,1,,,,,,,,,,
3,164,0,,,,,,,,,,
4,151,3,,,,,,,,,,
5,1186,4,,,,,,,,,,
